sendTime,requestType,latency,responseCode
1602054038288,POST,3,200
1602054038289,POST,2,200
1602054038289,POST,2,200
1602054038290,POST,2,200
1602054038289,POST,3,200
1602054038289,POST,3,200
1602054038199,POST,93,200
1602054038290,POST,2,200
1602054038291,POST,2,200
1602054038291,POST,2,200
1602054038291,POST,2,200
1602054038292,POST,2,200
1602054038291,POST,3,200
1602054038291,POST,3,200
1602054038292,POST,2,200
1602054038292,POST,2,200
1602054038292,POST,3,200
1602054038293,POST,2,200
1602054038293,POST,2,200
1602054038293,POST,3,200
1602054038278,POST,18,200
1602054038294,POST,2,200
1602054038294,POST,2,200
1602054038295,POST,2,200
1602054038295,POST,2,200
1602054038295,POST,2,200
1602054038295,POST,2,200
1602054038294,POST,3,200
1602054038293,POST,4,200
1602054038289,POST,9,200
1602054038190,POST,106,200
1602054038288,POST,10,200
1602054038296,POST,2,200
1602054038294,POST,3,200
1602054038296,POST,3,200
1602054038297,POST,2,200
1602054038298,POST,1,200
1602054038297,POST,3,200
1602054038297,POST,3,200
1602054038298,POST,2,200
1602054038297,POST,3,200
1602054038290,POST,11,200
1602054038298,POST,3,200
1602054038299,POST,2,200
1602054038299,POST,2,200
1602054038299,POST,2,200
1602054038299,POST,3,200
1602054038300,POST,2,200
1602054038300,POST,2,200
1602054038285,POST,18,200
1602054038284,POST,19,200
1602054038285,POST,18,200
1602054038281,POST,22,200
1602054038301,POST,3,200
1602054038301,POST,3,200
1602054038284,POST,20,200
1602054038280,POST,24,200
1602054038303,POST,2,200
1602054038303,POST,2,200
1602054038303,POST,2,200
1602054038301,POST,4,200
1602054038304,POST,2,200
1602054038304,POST,2,200
1602054038304,POST,2,200
1602054038302,POST,4,200
1602054038302,POST,4,200
1602054038302,POST,4,200
1602054038305,POST,2,200
1602054038305,POST,2,200
1602054038305,POST,2,200
1602054038213,POST,84,200
1602054038306,POST,2,200
1602054038305,POST,3,200
1602054038306,POST,2,200
1602054038306,POST,2,200
1602054038298,POST,2,200
